DEUTSCHE BANK AKTIENGESELLSCHAFT|Deutsche Bank AG|Public|Frankfurt Stock Exchange|DBK|||10 March 1869|Deutsche Bank Twin Towers||| €24.028 billion (2020)| €1.021 billion (2020)| €624 million (2020)| €1.325 trillion (2020)| €62.196 billion (2020)|84,389 (Q1 2021)|['http://db.com']
MORGAN STANLEY & CO. INTERNATIONAL PLC|Morgan Stanley|Public|New York Stock Exchange|MS|Financial services||1935 (The original Morgan Stanley)|Morgan Stanley Building|James P. Gorman|| | US$11.301 billion (2019)| US$11 billion (2020)| US$1,118 billion (2020)| US$82.697 billion (2019)|70,431 (2019)|['http://morganstanley.com']
ROYAL LONDON MANAGEMENT SERVICES LIMITED|Royal London Asset Management|Mutual Society|||Investment management||1988|London|Andrew Carter (||||||||['http://www.rlam.co.uk']
NATIONAL GRID GAS PLC|National Grid plc|Public limited company|London Stock Exchange|NG.|Utilities|Central Electricity Generating Board|1990|Warwick|Sir Peter Gershon|| | £3.307 billion (2020)| £1.265 billion (2020)| £67.089 billion (2020)| £19.562 billion (2020)|23,069 (2020)|['https://www.nationalgrid.com']
BREWIN DOLPHIN LIMITED|Brewin Dolphin plc|Public|London Stock Exchange|BRW|Investment management||1762|London|Toby Strauss, (|| | | ||||['https://www.brewin.co.uk/']
LONDON STOCK EXCHANGE GROUP HOLDINGS LIMITED|London Stock Exchange Group plc|Public limited company|London Stock Exchange|LSEG|Financial services||23 June 2007|Paternoster Square|Don Robert|| | £ 1,118  million (2020)| £ 487 million (2020)|||5,219 (2020)|['https://www.lseg.com/', 'https://www.wikidata.org/wiki/Q5573225#P856']
MITIE LIMITED|Mitie Group PLC|Public|London Stock Exchange|MTO|Facilities Management||1987|London|Derek Mapp, ||£|£|£|||77,500 (2021)|['http://www.mitie.com']
UBS AG|UBS Group AG|Public|SIX Swiss Exchange|UBSG|Banking|Union Bank of Switzerland|29 June 1998|Bahnhofstrasse 45 ||| | US$32.39 billion (2020)| US$12.822 billion (2020)| US$1.126 trillion (2020)| US$59.4 billion (2020)|71,551 (2020)|['https://www.ubs.com/']
Hewlett Packard Enterprise|Hewlett-Packard Company|Public|||Computer hardware||January 1, 1939|Palo Alto|||2,000,000,000 United States dollar (2015) ||||||
VIRGIN MEDIA BUSINESS LIMITED|Virgin Media Business Limited|Internet service provider|||Internet||2010|Hook|Peter Kelly||||||||['http://www.virginmediabusiness.co.uk']
PINSENT MASONS LLP|Pinsent Masons|||||||Crown Place|||£||||||['https://www.pinsentmasons.com']
John Lewis Horsham|John Lewis & Partners|Subsidiary|||Retail||1864|London||| | £243.2 million ||||38,100 |['https://www.johnlewis.com']
HARRODS LIMITED|Harrods|Private company|||Retail||1849|87–135 ||| £2 billion | £253.3 million | £233.2 million ||| ca. 4,000 |['https://www.harrods.com']
FRESHFIELDS BRUCKHAUS DERINGER LLP||||||||100 Bishopsgate||| £1.472 billion (2018/19)||||||['http://freshfields.com']
NETWORK RAIL INFRASTRUCTURE LIMITED|Network Rail Limited|Government-owned company|||Rail infrastructure and asset management|Railtrack|October 2002|1 Eversholt Street |Sir Peter Hendy||£6.6 billion (2019)|||||42,099 (2020)|['https://www.networkrail.co.uk/', 'https://www.wikidata.org/wiki/Q1501071#P856']
